Fecha,Close,Ticker
2021-11-16,81.050003,EFA
2021-11-16,84.449997,XLK
2021-11-16,145.110001,TLT
2021-11-16,147.876007,GOOGL
2021-11-16,151.0,AAPL
2021-11-16,172.919998,GLD
2021-11-16,177.035004,AMZN
2021-11-16,242.789993,VTI
2021-11-16,339.51001,MSFT
2021-11-16,342.959991,META
2021-11-16,351.57666,TSLA
2021-11-16,397.420013,QQQ
2021-11-16,431.410004,VOO
2021-11-16,479.959991,CSPX.L
2021-11-17,29.261,NVDA
2021-11-17,39.650002,XLF
2021-11-17,63.310001,IEMG
2021-11-17,80.949997,EFA
2021-11-17,84.195,XLK
2021-11-17,146.259995,TLT
2021-11-17,148.046997,GOOGL
2021-11-17,153.490005,AAPL
2021-11-17,174.5,GLD
2021-11-17,177.449997,AMZN
2021-11-17,241.789993,VTI
2021-11-17,339.119995,MSFT
2021-11-17,340.769989,META
2021-11-17,363.003326,TSLA
2021-11-17,397.630005,QQQ
2021-11-17,430.369995,VOO
2021-11-17,478.48999,CSPX.L
2021-11-18,31.674999,NVDA
2021-11-18,39.450001,XLF
2021-11-18,62.630001,IEMG
2021-11-18,81.029999,EFA
2021-11-18,85.035004,XLK
2021-11-18,146.809998,TLT
2021-11-18,149.838501,GOOGL
2021-11-18,157.869995,AAPL
2021-11-18,173.940002,GLD
2021-11-18,184.802994,AMZN
2021-11-18,242.169998,VTI
2021-11-18,338.690002,META
2021-11-18,341.269989,MSFT
2021-11-18,365.459991,TSLA
2021-11-18,401.75,QQQ
2021-11-18,431.859985,VOO
2021-11-18,478.869995,CSPX.L
2021-11-19,32.985001,NVDA
2021-11-19,39.02,XLF
2021-11-19,62.540001,IEMG
2021-11-19,80.339996,EFA
2021-11-19,85.654999,XLK
2021-11-19,148.360001,TLT
2021-11-19,148.926498,GOOGL
2021-11-19,160.550003,AAPL
2021-11-19,172.610001,GLD
2021-11-19,183.828506,AMZN
2021-11-19,241.479996,VTI
2021-11-19,343.109985,MSFT
2021-11-19,345.299988,META
2021-11-19,379.019989,TSLA
2021-11-19,403.98999,QQQ
2021-11-19,431.049988,VOO
2021-11-19,480.100006,CSPX.L
2021-11-22,31.955999,NVDA
2021-11-22,39.57,XLF
2021-11-22,62.009998,IEMG
2021-11-22,79.870003,EFA
2021-11-22,84.699997,XLK
2021-11-22,146.302002,GOOGL
2021-11-22,146.619995,TLT
